Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	6.0	9.0	0	12000.0	Brown Creeper	brncre	0.3904	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	6.0
2	Spectrogram 1	1	12.0	15.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2279	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	12.0
3	Spectrogram 1	1	15.0	18.0	0	12000.0	Dark-eyed Junco	daejun	0.1579	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	15.0
4	Spectrogram 1	1	24.0	27.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2187	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	24.0
5	Spectrogram 1	1	36.0	39.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7452	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	36.0
6	Spectrogram 1	1	39.0	42.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1159	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	39.0
7	Spectrogram 1	1	45.0	48.0	0	12000.0	Brown Creeper	brncre	0.5767	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	45.0
8	Spectrogram 1	1	48.0	51.0	0	12000.0	Brown Creeper	brncre	0.5632	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	48.0
9	Spectrogram 1	1	60.0	63.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2642	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	60.0
10	Spectrogram 1	1	60.0	63.0	0	12000.0	Dark-eyed Junco	daejun	0.1136	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	60.0
11	Spectrogram 1	1	69.0	72.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5274	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	69.0
12	Spectrogram 1	1	69.0	72.0	0	12000.0	Brown Creeper	brncre	0.2182	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	69.0
13	Spectrogram 1	1	75.0	78.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3003	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	75.0
14	Spectrogram 1	1	75.0	78.0	0	12000.0	Brown Creeper	brncre	0.1288	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	75.0
15	Spectrogram 1	1	90.0	93.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2195	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	90.0
16	Spectrogram 1	1	96.0	99.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6189	D:/Island_Songbirds_2024/PENO-3/Data\PENO-3_20240815_053902.wav	96.0
