Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	42.0	45.0	0	12000.0	Blackpoll Warbler	bkpwar	0.5735	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	42.0
2	Spectrogram 1	1	45.0	48.0	0	12000.0	Blackpoll Warbler	bkpwar	0.6052	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	45.0
3	Spectrogram 1	1	72.0	75.0	0	12000.0	Blackpoll Warbler	bkpwar	0.7723	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	72.0
4	Spectrogram 1	1	75.0	78.0	0	12000.0	Blackpoll Warbler	bkpwar	0.3573	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	75.0
5	Spectrogram 1	1	132.0	135.0	0	12000.0	Blackpoll Warbler	bkpwar	0.3956	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	132.0
6	Spectrogram 1	1	171.0	174.0	0	12000.0	Yellow-bellied Sapsucker	yebsap	0.1183	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	171.0
7	Spectrogram 1	1	177.0	180.0	0	12000.0	Blackpoll Warbler	bkpwar	0.8503	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	177.0
8	Spectrogram 1	1	180.0	183.0	0	12000.0	Blackpoll Warbler	bkpwar	0.3482	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	180.0
9	Spectrogram 1	1	219.0	222.0	0	12000.0	Blackpoll Warbler	bkpwar	0.2280	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	219.0
10	Spectrogram 1	1	222.0	225.0	0	12000.0	Blackpoll Warbler	bkpwar	0.2161	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	222.0
11	Spectrogram 1	1	237.0	240.0	0	12000.0	Blackpoll Warbler	bkpwar	0.3173	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	237.0
12	Spectrogram 1	1	261.0	264.0	0	12000.0	Blackpoll Warbler	bkpwar	0.5778	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	261.0
13	Spectrogram 1	1	282.0	285.0	0	12000.0	Blackpoll Warbler	bkpwar	0.3992	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	282.0
14	Spectrogram 1	1	417.0	420.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1615	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	417.0
15	Spectrogram 1	1	420.0	423.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1824	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	420.0
16	Spectrogram 1	1	456.0	459.0	0	12000.0	Blackpoll Warbler	bkpwar	0.4177	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	456.0
17	Spectrogram 1	1	477.0	480.0	0	12000.0	Blackpoll Warbler	bkpwar	0.4296	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	477.0
18	Spectrogram 1	1	552.0	555.0	0	12000.0	Blackpoll Warbler	bkpwar	0.4156	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	552.0
19	Spectrogram 1	1	654.0	657.0	0	12000.0	Blackpoll Warbler	bkpwar	0.2970	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	654.0
20	Spectrogram 1	1	666.0	669.0	0	12000.0	Blackpoll Warbler	bkpwar	0.2745	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	666.0
21	Spectrogram 1	1	687.0	690.0	0	12000.0	Yellow-rumped Warbler	yerwar	0.1018	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	687.0
22	Spectrogram 1	1	696.0	699.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1145	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	696.0
23	Spectrogram 1	1	723.0	726.0	0	12000.0	Cape May Warbler	camwar	0.1080	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	723.0
24	Spectrogram 1	1	726.0	729.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1234	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	726.0
25	Spectrogram 1	1	747.0	750.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.6830	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	747.0
26	Spectrogram 1	1	747.0	750.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1279	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	747.0
27	Spectrogram 1	1	750.0	753.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.8655	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	750.0
28	Spectrogram 1	1	828.0	831.0	0	12000.0	Blackpoll Warbler	bkpwar	0.5205	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	828.0
29	Spectrogram 1	1	831.0	834.0	0	12000.0	Blackpoll Warbler	bkpwar	0.8527	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	831.0
30	Spectrogram 1	1	846.0	849.0	0	12000.0	Blackpoll Warbler	bkpwar	0.5002	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	846.0
31	Spectrogram 1	1	849.0	852.0	0	12000.0	Blackpoll Warbler	bkpwar	0.8979	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	849.0
32	Spectrogram 1	1	870.0	873.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1963	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	870.0
33	Spectrogram 1	1	885.0	888.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.5094	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	885.0
34	Spectrogram 1	1	945.0	948.0	0	12000.0	Blackpoll Warbler	bkpwar	0.6363	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	945.0
35	Spectrogram 1	1	948.0	951.0	0	12000.0	Blackpoll Warbler	bkpwar	0.8600	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	948.0
36	Spectrogram 1	1	1443.0	1446.0	0	12000.0	Swainson's Thrush	swathr	0.1323	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1443.0
37	Spectrogram 1	1	1461.0	1464.0	0	12000.0	Song Sparrow	sonspa	0.5321	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1461.0
38	Spectrogram 1	1	1464.0	1467.0	0	12000.0	Song Sparrow	sonspa	0.2405	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1464.0
39	Spectrogram 1	1	1473.0	1476.0	0	12000.0	Swainson's Thrush	swathr	0.1532	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1473.0
40	Spectrogram 1	1	1479.0	1482.0	0	12000.0	Swainson's Thrush	swathr	0.1346	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1479.0
41	Spectrogram 1	1	1482.0	1485.0	0	12000.0	Swainson's Thrush	swathr	0.6330	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1482.0
42	Spectrogram 1	1	1485.0	1488.0	0	12000.0	Swainson's Thrush	swathr	0.4391	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1485.0
43	Spectrogram 1	1	1491.0	1494.0	0	12000.0	Swainson's Thrush	swathr	0.3649	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1491.0
44	Spectrogram 1	1	1494.0	1497.0	0	12000.0	Great Crested Flycatcher	grcfly	0.2021	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1494.0
45	Spectrogram 1	1	1497.0	1500.0	0	12000.0	Great Crested Flycatcher	grcfly	0.4122	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1497.0
46	Spectrogram 1	1	1500.0	1503.0	0	12000.0	Swainson's Thrush	swathr	0.5340	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1500.0
47	Spectrogram 1	1	1620.0	1623.0	0	12000.0	Swainson's Thrush	swathr	0.6665	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1620.0
48	Spectrogram 1	1	1623.0	1626.0	0	12000.0	Swainson's Thrush	swathr	0.1021	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1623.0
49	Spectrogram 1	1	1680.0	1683.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.3610	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1680.0
50	Spectrogram 1	1	1683.0	1686.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.9104	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1683.0
51	Spectrogram 1	1	1686.0	1689.0	0	12000.0	Red-breasted Nuthatch	rebnut	0.1443	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1686.0
52	Spectrogram 1	1	1824.0	1827.0	0	12000.0	Yellow-bellied Sapsucker	yebsap	0.1112	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	1824.0
53	Spectrogram 1	1	2070.0	2073.0	0	12000.0	Blackpoll Warbler	bkpwar	0.1270	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2070.0
54	Spectrogram 1	1	2091.0	2094.0	0	12000.0	Blackpoll Warbler	bkpwar	0.4769	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2091.0
55	Spectrogram 1	1	2121.0	2124.0	0	12000.0	Blackpoll Warbler	bkpwar	0.2995	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2121.0
56	Spectrogram 1	1	2190.0	2193.0	0	12000.0	Swainson's Thrush	swathr	0.7560	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2190.0
57	Spectrogram 1	1	2217.0	2220.0	0	12000.0	Swainson's Thrush	swathr	0.2249	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2217.0
58	Spectrogram 1	1	2220.0	2223.0	0	12000.0	Swainson's Thrush	swathr	0.6524	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2220.0
59	Spectrogram 1	1	2223.0	2226.0	0	12000.0	Swainson's Thrush	swathr	0.3840	D:/Island_Songbirds_2024/LIHA-1/Data\LIHA-1_20240528_193500.wav	2223.0
