Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	12000.0	Dark-eyed Junco	daejun	0.1148	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	0
2	Spectrogram 1	1	12.0	15.0	0	12000.0	American Crow	amecro	0.1937	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	12.0
3	Spectrogram 1	1	15.0	18.0	0	12000.0	American Crow	amecro	0.6694	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	15.0
4	Spectrogram 1	1	18.0	21.0	0	12000.0	American Crow	amecro	0.4502	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	18.0
5	Spectrogram 1	1	21.0	24.0	0	12000.0	American Crow	amecro	0.5300	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	21.0
6	Spectrogram 1	1	33.0	36.0	0	12000.0	Brown Creeper	brncre	0.1787	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	33.0
7	Spectrogram 1	1	33.0	36.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1530	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	33.0
8	Spectrogram 1	1	36.0	39.0	0	12000.0	American Crow	amecro	0.3282	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	36.0
9	Spectrogram 1	1	45.0	48.0	0	12000.0	Brown Creeper	brncre	0.4421	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	45.0
10	Spectrogram 1	1	45.0	48.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1028	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	45.0
11	Spectrogram 1	1	48.0	51.0	0	12000.0	Brown Creeper	brncre	0.3279	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	48.0
12	Spectrogram 1	1	48.0	51.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1250	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	48.0
13	Spectrogram 1	1	51.0	54.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7243	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	51.0
14	Spectrogram 1	1	51.0	54.0	0	12000.0	Brown Creeper	brncre	0.4539	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	51.0
15	Spectrogram 1	1	57.0	60.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1145	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	57.0
16	Spectrogram 1	1	60.0	63.0	0	12000.0	Black-and-white Warbler	bawwar	0.1118	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	60.0
17	Spectrogram 1	1	63.0	66.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3126	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	63.0
18	Spectrogram 1	1	63.0	66.0	0	12000.0	Brown Creeper	brncre	0.1795	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	63.0
19	Spectrogram 1	1	66.0	69.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1016	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	66.0
20	Spectrogram 1	1	69.0	72.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3672	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	69.0
21	Spectrogram 1	1	69.0	72.0	0	12000.0	Brown Creeper	brncre	0.1571	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	69.0
22	Spectrogram 1	1	84.0	87.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1859	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	84.0
23	Spectrogram 1	1	90.0	93.0	0	12000.0	Blackburnian Warbler	bkbwar	0.1613	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	90.0
24	Spectrogram 1	1	96.0	99.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4070	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	96.0
25	Spectrogram 1	1	99.0	102.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1591	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	99.0
26	Spectrogram 1	1	111.0	114.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7206	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	111.0
27	Spectrogram 1	1	120.0	123.0	0	12000.0	Bay-breasted Warbler	babwar	0.2546	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	120.0
28	Spectrogram 1	1	120.0	123.0	0	12000.0	Cape May Warbler	camwar	0.1484	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	120.0
29	Spectrogram 1	1	147.0	150.0	0	12000.0	American Crow	amecro	0.1586	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	147.0
30	Spectrogram 1	1	150.0	153.0	0	12000.0	Black-throated Green Warbler	btnwar	0.1345	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	150.0
31	Spectrogram 1	1	150.0	153.0	0	12000.0	American Crow	amecro	0.1255	D:/Island_Songbirds_2024/ANGU-1/Data\ANGU-1_20240808_052502.wav	150.0
