Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0	3.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3212	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	0
2	Spectrogram 1	1	3.0	6.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1511	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1101	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6725	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	9.0
5	Spectrogram 1	1	9.0	12.0	0	12000.0	Brown Creeper	brncre	0.1174	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	9.0
6	Spectrogram 1	1	12.0	15.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7797	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	12.0
7	Spectrogram 1	1	15.0	18.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2287	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	15.0
8	Spectrogram 1	1	18.0	21.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6376	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	18.0
9	Spectrogram 1	1	21.0	24.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5318	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	21.0
10	Spectrogram 1	1	21.0	24.0	0	12000.0	Brown Creeper	brncre	0.1072	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	21.0
11	Spectrogram 1	1	24.0	27.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2982	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	24.0
12	Spectrogram 1	1	27.0	30.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7288	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	27.0
13	Spectrogram 1	1	30.0	33.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4930	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	30.0
14	Spectrogram 1	1	33.0	36.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3722	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	33.0
15	Spectrogram 1	1	36.0	39.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4651	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	36.0
16	Spectrogram 1	1	39.0	42.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2842	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	39.0
17	Spectrogram 1	1	42.0	45.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6428	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	42.0
18	Spectrogram 1	1	45.0	48.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3279	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	45.0
19	Spectrogram 1	1	51.0	54.0	0	12000.0	Golden-crowned Kinglet	gockin	0.3441	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	51.0
20	Spectrogram 1	1	51.0	54.0	0	12000.0	Brown Creeper	brncre	0.2791	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	51.0
21	Spectrogram 1	1	54.0	57.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4274	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	54.0
22	Spectrogram 1	1	57.0	60.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4269	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	57.0
23	Spectrogram 1	1	60.0	63.0	0	12000.0	Golden-crowned Kinglet	gockin	0.2938	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	60.0
24	Spectrogram 1	1	63.0	66.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4629	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	63.0
25	Spectrogram 1	1	63.0	66.0	0	12000.0	Boreal Chickadee	borchi2	0.1039	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	63.0
26	Spectrogram 1	1	66.0	69.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6395	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	66.0
27	Spectrogram 1	1	69.0	72.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7243	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	69.0
28	Spectrogram 1	1	72.0	75.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4659	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	72.0
29	Spectrogram 1	1	75.0	78.0	0	12000.0	Golden-crowned Kinglet	gockin	0.7326	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	75.0
30	Spectrogram 1	1	78.0	81.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4881	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	78.0
31	Spectrogram 1	1	81.0	84.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6532	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	81.0
32	Spectrogram 1	1	84.0	87.0	0	12000.0	Golden-crowned Kinglet	gockin	0.4505	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	84.0
33	Spectrogram 1	1	87.0	90.0	0	12000.0	Golden-crowned Kinglet	gockin	0.5884	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	87.0
34	Spectrogram 1	1	90.0	93.0	0	12000.0	Golden-crowned Kinglet	gockin	0.6387	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	90.0
35	Spectrogram 1	1	93.0	96.0	0	12000.0	Golden-crowned Kinglet	gockin	0.1585	D:/Island_Songbirds_2024/GRWA-2/Data\GRWA-2_20240814_190600.wav	93.0
