Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	60.0	63.0	0	12000.0	Swainson's Thrush	swathr	0.3414	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	60.0
2	Spectrogram 1	1	93.0	96.0	0	12000.0	American Crow	amecro	0.3120	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	93.0
3	Spectrogram 1	1	99.0	102.0	0	12000.0	American Crow	amecro	0.3259	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	99.0
4	Spectrogram 1	1	111.0	114.0	0	12000.0	American Crow	amecro	0.3679	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	111.0
5	Spectrogram 1	1	123.0	126.0	0	12000.0	American Crow	amecro	0.1829	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	123.0
6	Spectrogram 1	1	123.0	126.0	0	12000.0	Common Raven	comrav	0.1307	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	123.0
7	Spectrogram 1	1	144.0	147.0	0	12000.0	American Crow	amecro	0.6930	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	144.0
8	Spectrogram 1	1	192.0	195.0	0	12000.0	American Crow	amecro	0.8533	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	192.0
9	Spectrogram 1	1	195.0	198.0	0	12000.0	American Crow	amecro	0.7673	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	195.0
10	Spectrogram 1	1	198.0	201.0	0	12000.0	American Crow	amecro	0.7489	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	198.0
11	Spectrogram 1	1	204.0	207.0	0	12000.0	American Crow	amecro	0.8404	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	204.0
12	Spectrogram 1	1	207.0	210.0	0	12000.0	American Crow	amecro	0.6699	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	207.0
13	Spectrogram 1	1	210.0	213.0	0	12000.0	American Crow	amecro	0.7173	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	210.0
14	Spectrogram 1	1	219.0	222.0	0	12000.0	American Crow	amecro	0.1259	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	219.0
15	Spectrogram 1	1	222.0	225.0	0	12000.0	American Crow	amecro	0.9185	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	222.0
16	Spectrogram 1	1	225.0	228.0	0	12000.0	American Crow	amecro	0.8005	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	225.0
17	Spectrogram 1	1	228.0	231.0	0	12000.0	American Crow	amecro	0.8573	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	228.0
18	Spectrogram 1	1	234.0	237.0	0	12000.0	American Crow	amecro	0.9183	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	234.0
19	Spectrogram 1	1	240.0	243.0	0	12000.0	American Crow	amecro	0.6548	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	240.0
20	Spectrogram 1	1	249.0	252.0	0	12000.0	American Crow	amecro	0.5416	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	249.0
21	Spectrogram 1	1	282.0	285.0	0	12000.0	American Crow	amecro	0.9529	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	282.0
22	Spectrogram 1	1	354.0	357.0	0	12000.0	American Redstart	amered	0.2578	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	354.0
23	Spectrogram 1	1	360.0	363.0	0	12000.0	American Crow	amecro	0.7761	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	360.0
24	Spectrogram 1	1	363.0	366.0	0	12000.0	American Crow	amecro	0.9329	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	363.0
25	Spectrogram 1	1	366.0	369.0	0	12000.0	American Crow	amecro	0.8977	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	366.0
26	Spectrogram 1	1	369.0	372.0	0	12000.0	American Crow	amecro	0.8209	D:/Island_Songbirds_2024/BIWH-1/Data\BIWH-1_20240725_051702.wav	369.0
